TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,MAD,SIXMICRON_LUM,EDR?
39628427703091938,180.88403342627976,27.449040553810704,1.2019,QSO,-0.05028603533697096,0.0,1.615377824929444E-5,45.262909987028905,true
39628427908616808,194.88430170327987,27.50878800259541,0.9671,QSO,,,,44.86939285454121,true
39628427917001449,195.22389160977198,27.39620765997104,1.4608,QSO,0.3855162466891169,0.016821505069412723,2.3809359549090047E-5,45.49016327099912,true
39628433252156250,193.59205693387176,27.64281800226738,1.0E-4,STAR,,,,35.86275990568255,true
39628433252156842,193.62750227933103,27.67045538418654,1.6382,QSO,0.41770358555466336,0.0,1.9971434872002428E-5,45.55568649277351,true
39628438406957157,180.6651241824792,28.068460749682135,1.09475,QSO,,,,45.53870522669712,true
39628443750502638,181.33199644887236,28.205455333781025,2.02075,QSO,0.3177561701185101,0.04495971287831488,4.8504430636328885E-5,45.97841762467727,true
39628443754698369,181.69911589659037,28.184673222939693,-0.002,STAR,,,,39.20266378288382,true
39628443926660640,193.1289949475533,28.36363970219377,1.6181,QSO,0.6806007868664721,0.0535308478463484,3.8297534711445236E-5,45.66094520539876,true
39628443935048217,193.63855608381846,28.363405423718433,0.7397,QSO,0.8559593502315335,0.0,1.911506814047408E-5,45.00601326743197,true
39628454588581671,195.18871135561682,28.708651278131352,0.95965,QSO,0.7970084612155972,0.0,1.522877149461536E-5,44.84605176283611,true
39628459642716443,178.587459800984,28.929873012335346,2.39515,QSO,0.4743939654671381,0.01202693567589002,1.2320442513626815E-5,46.407180172093426,true
39628459856626965,193.1811238469948,28.97063380029134,1.3011,QSO,,,,45.27757297583154,true
39628459881794166,194.9549713202372,29.123969093057703,1.8733,GALAXY,,,,45.60090634759378,true
39628459898571995,196.1779510216052,29.067211970393817,1.42675,QSO,0.3674025074167422,0.0,1.7217401614798195E-5,45.49908051901274,true
39628465162420776,194.61947405719494,29.2057917877137,1.2561,QSO,-0.016756255233701167,0.004975985146103777,2.9931893687868837E-5,45.37891355864604,true
39628471248356867,250.31371761940557,29.571926856816468,1.4999,GALAXY,,,,44.9802642909845,true
39628475698517015,195.23107713726122,29.69398751369075,1.7841,QSO,,,,45.88971478929437,true
39628481759283375,250.96912936847593,30.053564101208366,1.386,QSO,0.1512254543927134,0.014536098979412854,4.319821148857542E-5,44.946579052241724,true
39628497441787717,252.7657273072198,30.630768229441433,1.76985,QSO,0.2833010193860488,0.01947386370744376,3.826464668100606E-5,46.42252608184016,true
39628501019529961,140.96249690844436,31.068615010304875,2.1012,QSO,0.11887483943265376,0.026537339773470784,9.479084480850095E-5,45.834684417988726,true
39628501371846866,165.1568298359099,30.96221435079807,-0.002,STAR,,,,39.25023932344393,true
39628501661254920,185.32623221936763,31.058190921783723,1.949,QSO,0.3200320185629384,0.024264361537662614,2.954024216343476E-5,45.932127867048045,true
39628502382676707,235.53612111768183,30.888266230865842,0.9892,GALAXY,,,,45.282432109610774,true
39628502600781066,250.67310121445422,30.976667279147186,1.83955,QSO,0.22704392994214473,0.07362842728161355,4.010090417562294E-5,45.49073362476608,true
39628507008994064,197.0901697327588,31.358198553013715,2.0483,QSO,0.4379488142060881,0.014516676379582415,4.572524108748241E-5,46.14437876421899,true
39628507407453884,224.87522851781748,31.269304997037125,-4.0E-4,STAR,,,,37.18160612085384,true
39628507411645279,224.9963463495772,31.215902448744067,3.015,QSO,0.08968126789929554,0.0,1.300568244179155E-4,46.074430839212745,true
39628507411647638,225.15653634255477,31.26045288734896,2.3645,QSO,0.12202202733378442,0.011540239005227436,9.763815245145424E-5,46.04206857771596,true
39628507432619096,226.59127107377043,31.240206691657693,1.68025,QSO,0.4062285495037097,0.0,2.4570492321277682E-5,45.7599770767929,true
39628507738802325,247.80141131750824,31.270684851200016,1.13015,QSO,0.5153898139323332,0.012575680790855324,1.1155153659797865E-5,45.102335393056855,true
39628511400430488,143.01734287729158,31.502400431216557,0.4224,QSO,,,,43.95971338295252,true
