ra,dec,designation,umag,gmag,rmag,imag,zmag,jmag,hmag,kmag,w1mag,w2mag,w3mag,w4mag,FIRST_peak,FIRST_int,VLASS_peak,VLASS_int,zsp,spCl,broad,src,ebv
25.071115,-0.834176,J014017.06-005003.0,16.159,16.115,16.175,16.285,15.684,15.346,14.698,13.85,11.922,10.943,8.584,6.201,0.0,0.0,0.00,0.00,0.334,QSO,4999.2,Alp,-0.139
25.660323,0.087411,J014238.47+000514.6,17.606,17.272,16.965,16.528,16.467,16.018,15.024,14.076,12.442,11.396,8.434,6.234,0.0,0.0,0.00,0.00,0.146,QSO,3867.6,Alp,0.011
26.686831,-0.678642,J014644.83-004043.1,16.582,15.998,15.642,15.169,15.074,14.485,14.396,13.207,12.204,11.574,8.053,5.622,1.09,4.28,0.00,0.00,0.082,QSO,2131.8,Alp,0.034
27.427153,0.250449,J014942.51+001501.6,16.7,16.353,16.432,16.313,16.407,15.494,14.819,14.088,12.46,11.213,8.46,6.13,0.0,0.0,0.00,0.00,0.552,QSO,9977.6,B,0.005
27.972103,-0.480638,J015153.30-002850.2,18.456,18.13,17.831,17.487,17.196,16.015,15.108,14.521,13.537,12.775,9.808,7.116,12.14,12.28,4.36,4.66,1.996,QSO,7331.9,B,0.099
28.840415,-0.697198,J015521.69-004149.9,20.367,18.891,17.718,17.316,16.882,16.175,15.442,14.253,12.877,11.765,8.628,6.132,0.0,0.0,0.00,0.00,0.269,QSO,5469.5,Alp-gal,0.175
29.791913,1.087400,J015910.05+010514.6,17.202,17.128,16.9,16.612,16.666,15.421,14.532,13.51,12.063,11.167,8.669,6.206,0.0,0.0,0.00,0.00,0.218,QSO,3883.2,Alp,-0.005
29.959384,0.394677,J015950.25+002340.8,15.931,15.7,15.517,15.254,15.283,14.066,13.088,12.014,10.79,9.792,6.363,3.132,22.55,24.08,9.42,11.19,0.163,QSO,2193.3,B,-0.030
30.121098,0.479601,J020029.06+002846.5,19.586,18.709,17.989,17.515,17.353,16.435,15.549,14.66,13.898,12.898,9.876,7.446,0.0,0.0,0.00,0.00,0.174,QSO,2670.2,Alp-gal,-0.035
31.566619,-0.291455,J020615.98-001729.2,15.642,14.297,13.59,13.235,12.99,13.219,12.366,11.62,10.169,9.38,6.969,4.983,3.34,4.15,1.84,2.17,0.043,QSO,4902.6,Alp,0.047
33.499126,0.707448,J021359.79+004226.8,17.48,17.42,17.068,16.648,16.871,15.623,14.83,13.89,13.01,12.029,9.027,6.209,3.9,3.52,1.47,3.31,0.182,QSO,7035.1,Alp,0.224
34.749455,0.482180,J021859.86+002855.8,18.133,17.913,17.611,17.5,17.115,16.484,15.368,14.442,12.925,11.925,8.974,6.802,0.96,0.64,0.00,0.00,0.351,QSO,2478.8,Alp,0.143
37.305595,0.575175,J022913.34+003430.6,19.522,18.673,17.802,17.258,17.101,16.02,15.34,14.501,13.518,12.783,9.85,6.979,0.0,0.0,0.99,0.96,0.152,QSO,2093.4,B-gal,0.012
37.662049,-0.020732,J023038.89-000114.6,19.661,18.321,17.535,17.103,16.856,15.921,15.207,14.528,13.786,13.135,10.291,7.688,0.0,0.0,0.00,0.00,0.134,QSO,1686.6,B-gal,0.035
39.845315,-0.022130,J023922.87-000119.6,15.694,15.594,15.509,15.533,15.252,14.665,13.954,12.904,11.188,10.158,7.706,5.566,0.0,0.0,0.00,0.00,0.262,QSO,7055.0,B,-0.072
